"","params","h","decision"
"839","h=0.02",0.02,0
"840","h=0.02",0.02,0
"841","h=0.02",0.02,0
"842","h=0.02",0.02,0
"843","h=0.02",0.02,0
"844","h=0.02",0.02,0
"845","h=0.02",0.02,0
"846","h=0.02",0.02,0
"847","h=0.02",0.02,0
"848","h=0.02",0.02,0
"849","h=0.02",0.02,0
"850","h=0.02",0.02,0
"851","h=0.02",0.02,0
"852","h=0.02",0.02,0
"853","h=0.02",0.02,0
"854","h=0.02",0.02,0
"855","h=0.02",0.02,0
"856","h=0.02",0.02,0
"857","h=0.02",0.02,0
"858","h=0.02",0.02,0
"859","h=0.02",0.02,0
"860","h=0.02",0.02,0
"861","h=0.02",0.02,0
"862","h=0.02",0.02,0
"863","h=0.02",0.02,0
"864","h=0.02",0.02,0
"865","h=0.02",0.02,0
"866","h=0.02",0.02,0
"867","h=0.02",0.02,0
"868","h=0.02",0.02,0
"869","h=0.02",0.02,0
"870","h=0.02",0.02,0
"871","h=0.02",0.02,0
"872","h=0.02",0.02,0
"873","h=0.02",0.02,0
"874","h=0.02",0.02,0
"875","h=0.02",0.02,0
"876","h=0.02",0.02,0
"877","h=0.02",0.02,0
"878","h=0.02",0.02,0
"879","h=0.02",0.02,0
"880","h=0.02",0.02,0
"881","h=0.02",0.02,0
"882","h=0.02",0.02,0
"883","h=0.02",0.02,0
"884","h=0.02",0.02,0
"885","h=0.02",0.02,0
"886","h=0.02",0.02,0
"887","h=0.02",0.02,0
"888","h=0.02",0.02,0
"889","h=0.02",0.02,0
"890","h=0.02",0.02,0
"891","h=0.02",0.02,0
"892","h=0.02",0.02,0
"893","h=0.02",0.02,0
"894","h=0.02",0.02,0
"895","h=0.02",0.02,0
"896","h=0.02",0.02,0
"897","h=0.02",0.02,0
"898","h=0.02",0.02,0
"899","h=0.02",0.02,0
"900","h=0.02",0.02,0
"901","h=0.02",0.02,0
"902","h=0.02",0.02,0
"903","h=0.02",0.02,0
"904","h=0.02",0.02,0
"905","h=0.02",0.02,0
"906","h=0.02",0.02,0
"907","h=0.02",0.02,0
"908","h=0.02",0.02,0
"909","h=0.02",0.02,0
"910","h=0.02",0.02,0
"911","h=0.02",0.02,0
"912","h=0.02",0.02,0
"913","h=0.02",0.02,0
"914","h=0.02",0.02,0
"915","h=0.02",0.02,0
"916","h=0.02",0.02,0
"917","h=0.02",0.02,0
"918","h=0.02",0.02,0
"919","h=0.02",0.02,0
"920","h=0.02",0.02,0
"921","h=0.02",0.02,0
"922","h=0.02",0.02,0
"923","h=0.02",0.02,0
"924","h=0.02",0.02,0
"925","h=0.02",0.02,0
"926","h=0.02",0.02,0
"927","h=0.02",0.02,0
"928","h=0.02",0.02,0
"929","h=0.02",0.02,0
"930","h=0.02",0.02,0
